what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326806596786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326806603811
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326806606406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806620428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806622086
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1326806626999
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1326806629976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326806639801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806641777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806642703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326806650547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326806650818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1326806651170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806661797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806662655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326806679129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326807623954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326807627044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326809696052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326809720868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810172249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810237601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810555948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810556110
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1326810564128
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1326810567705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810568534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810608834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810609895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810611025
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1326810611094
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326810611133
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1326810611216
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1326810611331
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers.ui",1326810611332
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1326810611332
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1326810611332
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1326810611332
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201109151620,"org.eclipse.cdt.launch.remote",1326810611333
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201109151620,"org.eclipse.cdt.debug.mi.ui",1326810611333
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201109151620,"org.eclipse.cdt.debug.mi.core",1326810611333
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1326810611333
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1326810611333
